id,name,branch,location
1,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE & ENGINEERING,Andhra Pradesh
2,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,POWER ELECTRONICS AND POWER SYSTEMS,Andhra Pradesh
3,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,STRUCTURAL ENGINEERING,Andhra Pradesh
4,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,THERMAL ENGINEERING,Andhra Pradesh
5,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,TRANSPORTATION ENGINEERING,Andhra Pradesh
6,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,VLSI AND EMBEDDED SYSTEMS,Andhra Pradesh
7,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,ARTIFICIAL INTELLIGENCE,Andhra Pradesh
8,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,ARTIFICIAL INTELLIGENCE (AI)  AND DATA SCIENCE,Andhra Pradesh
9,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,Andhra Pradesh
10,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh
11,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),Andhra Pradesh
12,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),Andhra Pradesh
13,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (IOT AND CYBER SECURITY WITH BLOCK CHAIN TECHNOLOGY),Andhra Pradesh
14,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING AND BUSINESS SYSTEMS,Andhra Pradesh
15,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,Andhra Pradesh
16,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,Andhra Pradesh
17,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Andhra Pradesh
18,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),Andhra Pradesh
19,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,INFORMATION TECHNOLOGY,Andhra Pradesh
20,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,MECHANICAL ENGINEERING,Andhra Pradesh
21,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,MBA,Andhra Pradesh
22,QIS COLLEGE OF ENGINEERING & TECHNOLOGY,MASTERS IN COMPUTER APPLICATIONS,Andhra Pradesh
23,KRISHNA UNIVERSITY,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh
24,KRISHNA UNIVERSITY,ELECTRONICS AND COMMUNICATION ENGINEERING,Andhra Pradesh
25,AMRITA VISHWA VIDYAPEETHAM AMARAVATI CAMPUS,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh
26,AMRITA VISHWA VIDYAPEETHAM AMARAVATI CAMPUS,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE),Andhra Pradesh
27,AMRITA VISHWA VIDYAPEETHAM AMARAVATI CAMPUS,MBA,Andhra Pradesh
28,BIT INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE (AI) AND MACHINE LEARNING,Andhra Pradesh
29,BIT INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,Andhra Pradesh
30,BIT INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh
31,BIT INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,Andhra Pradesh
32,BIT INSTITUTE OF TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Andhra Pradesh
33,BIT INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,Andhra Pradesh
34,BIT INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh
35,BIT INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,Andhra Pradesh
36,BIT INSTITUTE OF TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Andhra Pradesh
37,BIT INSTITUTE OF TECHNOLOGY,MBA,Andhra Pradesh
38,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,COMPUTER SCIENCE & ENGINEERING,Andhra Pradesh
39,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,STRUCTURAL ENGINEERING,Andhra Pradesh
40,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,VLSI AND EMBEDDED SYSTEMS,Andhra Pradesh
41,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Andhra Pradesh
42,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,CIVIL ENGINEERING,Andhra Pradesh
43,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh
44,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,ELECTRICAL AND ELECTRONICS ENGINEERING,Andhra Pradesh
45,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,ELECTRONICS & COMMUNICATION ENGG,Andhra Pradesh
46,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,MECHANICAL ENGINEERING,Andhra Pradesh
47,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,MBA,Andhra Pradesh
48,MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS,MASTERS IN COMPUTER APPLICATIONS,Andhra Pradesh
49,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,CAD/CAM,Andhra Pradesh
50,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Andhra Pradesh
51,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,DIGITAL SYSTEMS AND COMPUTER ELECTRONICS,Andhra Pradesh
52,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,GEOTECHNICAL ENGINEERING,Andhra Pradesh
53,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,POWER ELECTRONICS,Andhra Pradesh
54,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,POWER ELECTRONICS AND ELECTRICAL DRIVES,Andhra Pradesh
55,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,REFRIGERATION AND AIR CONDITIONING,Andhra Pradesh
56,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,SOFTWARE ENGINEERING,Andhra Pradesh
57,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,VLSI SYSTEM DESIGN,Andhra Pradesh
58,ST. JOHNS COLLEGE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,Andhra Pradesh
