id,name,branch,location
1,DELHI TECHNOLOGICAL UNIVERSITY,MASTER OF DESIGN (M.Des.),Delhi
2,DELHI TECHNOLOGICAL UNIVERSITY,BACHELOR OF DESIGN (B.Des.),Delhi
3,DELHI TECHNOLOGICAL UNIVERSITY,ARTIFICIAL INTELLIGENCE,Delhi
4,DELHI TECHNOLOGICAL UNIVERSITY,BIOINFORMATICS,Delhi
5,DELHI TECHNOLOGICAL UNIVERSITY,COMPUTER AIDED ANALYSIS AND DESIGN,Delhi
6,DELHI TECHNOLOGICAL UNIVERSITY,COMPUTER SCIENCE & ENGINEERING,Delhi
7,DELHI TECHNOLOGICAL UNIVERSITY,CONTROL AND INSTRUMENTATION,Delhi
8,DELHI TECHNOLOGICAL UNIVERSITY,DATA SCIENCE,Delhi
9,DELHI TECHNOLOGICAL UNIVERSITY,ENERGY SYSTEMS AND MANAGEMENT,Delhi
10,DELHI TECHNOLOGICAL UNIVERSITY,ENVIRONMENTAL ENGINEERING,Delhi
11,DELHI TECHNOLOGICAL UNIVERSITY,GEO INFORMATICS,Delhi
12,DELHI TECHNOLOGICAL UNIVERSITY,GEOTECHNICAL ENGINEERING,Delhi
13,DELHI TECHNOLOGICAL UNIVERSITY,Hydraulics And Water Resource Engineering,Delhi
14,DELHI TECHNOLOGICAL UNIVERSITY,INDUSTRIAL BIOTECHNOLOGY,Delhi
15,DELHI TECHNOLOGICAL UNIVERSITY,INDUSTRIAL ENGINEERING AND MANAGEMENT,Delhi
16,DELHI TECHNOLOGICAL UNIVERSITY,INFORMATION SYSTEMS,Delhi
17,DELHI TECHNOLOGICAL UNIVERSITY,MATERIAL SCIENCE AND TECHNOLOGY,Delhi
18,DELHI TECHNOLOGICAL UNIVERSITY,MICROWAVE & OPTICAL COMMUNICATION,Delhi
19,DELHI TECHNOLOGICAL UNIVERSITY,POLYMER TECHNOLOGY,Delhi
20,DELHI TECHNOLOGICAL UNIVERSITY,POWER ELECTRONICS AND SYSTEMS,Delhi
21,DELHI TECHNOLOGICAL UNIVERSITY,POWER SYSTEMS,Delhi
22,DELHI TECHNOLOGICAL UNIVERSITY,PRODUCTION ENGINEERING,Delhi
23,DELHI TECHNOLOGICAL UNIVERSITY,SIGNAL PROCESSING,Delhi
24,DELHI TECHNOLOGICAL UNIVERSITY,SOFTWARE ENGINEERING,Delhi
25,DELHI TECHNOLOGICAL UNIVERSITY,STRUCTURAL ENGINEERING,Delhi
26,DELHI TECHNOLOGICAL UNIVERSITY,THERMAL ENGINEERING,Delhi
27,DELHI TECHNOLOGICAL UNIVERSITY,VLSI DESIGN AND EMBEDDED SYSTEMS,Delhi
28,DELHI TECHNOLOGICAL UNIVERSITY,AUTOMOBILE ENGINEERING,Delhi
29,DELHI TECHNOLOGICAL UNIVERSITY,BIOTECHNOLOGY,Delhi
30,DELHI TECHNOLOGICAL UNIVERSITY,CHEMICAL ENGINEERING,Delhi
31,DELHI TECHNOLOGICAL UNIVERSITY,CIVIL ENGINEERING,Delhi
32,DELHI TECHNOLOGICAL UNIVERSITY,COMPUTER ENGINEERING,Delhi
33,DELHI TECHNOLOGICAL UNIVERSITY,ELECTRICAL ENGINEERING,Delhi
