id,name,branch,location
1,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,AGRICULTURAL ENGINEERING,Haryana
2,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,AUTOMATION AND ROBOTICS,Haryana
3,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,CIVIL AND ENVIRONMENTAL ENGINEERING,Haryana
4,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Haryana
5,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,CIVIL ENGINEERING,Haryana
6,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,CIVIL ENGINEERING (COMPUTER AIDED STRUCTURAL ENGG),Haryana
7,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,COMPUTER SCIENCE AND ENGINEERING,Haryana
8,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,MECHANICAL ENGINEERING,Haryana
9,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Haryana
10,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,Haryana
11,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,CIVIL ENGINEERING,Haryana
12,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,COMPUTER SCIENCE AND DESIGN,Haryana
13,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,COMPUTER SCIENCE AND ENGINEERING,Haryana
14,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,MECHANICAL AND AUTOMATION ENGINEERING,Haryana
15,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,MECHANICAL ENGINEERING,Haryana
16,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,ROBOTICS AND ARTIFICIAL INTELLIGENCE,Haryana
17,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,MBA,Haryana
18,WORLD COLLEGE OF TECHNOLOGY AND MANAGEMENT,MASTERS IN COMPUTER APPLICATIONS,Haryana
19,PURAN MURTI CAMPUS,AIRCRAFT MAINTENANCE ENGINEERING,Haryana
20,PURAN MURTI CAMPUS,AUTOMOBILE ENGINEERING,Haryana
21,PURAN MURTI CAMPUS,CIVIL ENGINEERING,Haryana
22,PURAN MURTI CAMPUS,COMPUTER SCIENCE AND ENGINEERING,Haryana
23,PURAN MURTI CAMPUS,DIPLOMA MEDICAL LAB TECHNOLOGY,Haryana
24,PURAN MURTI CAMPUS,ELECTRICAL ENGINEERING,Haryana
25,PURAN MURTI CAMPUS,ELECTRONICS & COMMUNICATION ENGG,Haryana
26,PURAN MURTI CAMPUS,MECHANICAL ENGINEERING,Haryana
27,PURAN MURTI CAMPUS,MECHANICAL ENGINEERING (TOOL AND DIE),Haryana
28,PURAN MURTI CAMPUS,CIVIL ENGINEERING,Haryana
29,PURAN MURTI CAMPUS,COMPUTER SCIENCE & ENGINEERING,Haryana
30,PURAN MURTI CAMPUS,ELECTRONICS & COMMUNICATION ENGG,Haryana
31,PURAN MURTI CAMPUS,MECHANICAL ENGINEERING,Haryana
32,PURAN MURTI CAMPUS,AERONAUTICAL ENGINEERING,Haryana
33,PURAN MURTI CAMPUS,AGRICULTURAL ENGINEERING,Haryana
34,PURAN MURTI CAMPUS,AIRCRAFT MAINTENANCE ENGINEERING,Haryana
35,PURAN MURTI CAMPUS,CIVIL ENGINEERING,Haryana
36,PURAN MURTI CAMPUS,COMPUTER SCIENCE & ENGINEERING,Haryana
37,PURAN MURTI CAMPUS,ELECTRICAL ENGINEERING,Haryana
38,PURAN MURTI CAMPUS,ELECTRONICS & COMMUNICATION ENGG,Haryana
39,PURAN MURTI CAMPUS,MECHANICAL ENGINEERING,Haryana
40,GURUGRAM UNIVERSITY,IC MANUFACTURING,Haryana
41,GURUGRAM UNIVERSITY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE),Haryana
42,GURUGRAM UNIVERSITY,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),Haryana
43,GURUGRAM UNIVERSITY,COMPUTER SCIENCE AND ENGINEERING (INTERNET OF THINGS),Haryana
44,GURUGRAM UNIVERSITY,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY),Haryana
45,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",AUTOMOBILE ENGINEERING,Haryana
46,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",CIVIL ENGINEERING,Haryana
47,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",COMPUTER SCIENCE & ENGINEERING,Haryana
48,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",ELECTRICAL ENGINEERING,Haryana
49,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",MECHANICAL ENGINEERING,Haryana
50,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",MEDICAL LABORATORY TECHNOLOGY,Haryana
51,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",CIVIL (STRUCTURAL ENGINEERING),Haryana
52,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",COMPUTER SCIENCE & ENGINEERING,Haryana
53,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",MECHANICAL ENGINEERING,Haryana
54,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",CIVIL ENGINEERING,Haryana
55,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",COMPUTER SCIENCE AND ENGINEERING,Haryana
56,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",ELECTRICAL ENGINEERING,Haryana
57,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",ELECTRONICS & COMMUNICATION ENGG,Haryana
58,"FARIDABAD COLLEGE OF ENGINEERING AND MENAGEMENT, FARIDABAD (FCEM)",MECHANICAL ENGINEERING,Haryana
59,ECHELON INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE & ENGINEERING,Haryana
60,ECHELON INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,Haryana
61,ECHELON INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,Haryana
62,ECHELON INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Haryana
63,ECHELON INSTITUTE OF TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Haryana
64,ECHELON INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,Haryana
65,SAT PRIYA GROUP OF INSTITUTIONS,CIVIL ENGINEERING (TRANSPORTATION),Haryana
66,SAT PRIYA GROUP OF INSTITUTIONS,COMPUTER SCIENCE AND ENGINEERING,Haryana
67,SAT PRIYA GROUP OF INSTITUTIONS,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Haryana
68,SAT PRIYA GROUP OF INSTITUTIONS,MECHANICAL ENGINEERING,Haryana
69,SAT PRIYA GROUP OF INSTITUTIONS,CIVIL ENGINEERING,Haryana
70,SAT PRIYA GROUP OF INSTITUTIONS,COMPUTER SCIENCE AND ENGINEERING,Haryana
71,SAT PRIYA GROUP OF INSTITUTIONS,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Haryana
72,SAT PRIYA GROUP OF INSTITUTIONS,MECHANICAL ENGINEERING,Haryana
73,SAT PRIYA GROUP OF INSTITUTIONS,MBA,Haryana
74,SAT PRIYA GROUP OF INSTITUTIONS,MASTERS IN COMPUTER APPLICATIONS,Haryana
75,SHRI KRISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,Haryana
76,SHRI KRISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE & ENGINEERING,Haryana
77,SHRI KRISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Haryana
78,SHRI KRISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,Haryana
79,SHRI KRISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,Haryana
80,SHRI KRISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE & ENGINEERING,Haryana
81,SHRI KRISHAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Haryana
