id,name,branch,location
1,GOVERNMENT ENGINEERING COLLEGE NARAGUND,ARTIFICIAL INTELLIGENCE (AI)  AND DATA SCIENCE,Karnataka
2,GOVERNMENT ENGINEERING COLLEGE NARAGUND,COMPUTER SCIENCE AND ENGINEERING,Karnataka
3,BGS COLLEGE OF ENGINEERING AND TECHNOLOGY,ARTIFICIAL INTELLIGENCE (AI)  AND DATA SCIENCE,Karnataka
4,BGS COLLEGE OF ENGINEERING AND TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,Karnataka
5,BGS COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND DESIGN,Karnataka
6,BGS COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Karnataka
7,BGS COLLEGE OF ENGINEERING AND TECHNOLOGY,INFORMATION SCIENCE AND ENGINEERING,Karnataka
8,GOVERNMENT ENGINEERING COLLEGE BIDAR,ARTIFICIAL INTELLIGENCE (AI)  AND DATA SCIENCE,Karnataka
9,GOVERNMENT ENGINEERING COLLEGE BIDAR,COMPUTER SCIENCE AND ENGINEERING,Karnataka
10,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,DATA SCIENCES,Karnataka
11,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,BIOTECHNOLOGY,Karnataka
12,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,HEALTH SCIENCE AND WATER ENGINEERING,Karnataka
13,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,INDUSTRIAL ELECTRONICS,Karnataka
14,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,INFRASTRUCTURE ENGINEERING AND MANAGEMENT,Karnataka
15,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,MATERIAL SCIENCE AND ENGINEERING,Karnataka
16,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,NETWORKING AND INTERNET ENGINEERING,Karnataka
17,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,SOFTWARE ENGINEERING,Karnataka
18,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,BIOTECHNOLOGY,Karnataka
19,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,CIVIL ENGINEERING,Karnataka
20,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,COMPUTER SCIENCE & ENGINEERING,Karnataka
21,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,COMPUTER SCIENCE AND BUSINESS SYSTEMS,Karnataka
22,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,CONSTRUCTION TECHNOLOGY AND MANAGEMENT,Karnataka
23,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,ELECTRONICS & COMMUNICATION ENGG,Karnataka
24,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,INFORMATION SCIENCE AND ENGINEERING,Karnataka
25,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,MECHANICAL ENGINEERING,Karnataka
26,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,MBA,Karnataka
27,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,MBA(DIGITAL MARKETING),Karnataka
28,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,MBA(FINANCIAL MANAGEMENT),Karnataka
29,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,MBA(RETAIL MANAGEMENT),Karnataka
30,JSS SCIENCE AND TECHNOLOGY UNIVERSITY,MASTER OF COMPUTER APPLICATIONS,Karnataka
31,JAIN COLLEGE OF ENGINEERING AND RESEARCH,CIVIL ENGINEERING,Karnataka
32,JAIN COLLEGE OF ENGINEERING AND RESEARCH,COMPUTER SCIENCE & ENGINEERING,Karnataka
33,JAIN COLLEGE OF ENGINEERING AND RESEARCH,ELECTRONICS & COMMUNICATION ENGG,Karnataka
34,JAIN COLLEGE OF ENGINEERING AND RESEARCH,MECHANICAL ENGINEERING,Karnataka
35,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,CIVIL ENGINEERING,Karnataka
36,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,COMPUTER SCIENCE & ENGINEERING,Karnataka
37,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,ELECTRONICS & COMMUNICATION ENGG,Karnataka
38,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,INFORMATION SCIENCE AND ENGINEERING,Karnataka
39,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,MECHANICAL ENGINEERING,Karnataka
40,ATRIA INSTITUTE OF TECHNOLOGY,DATA SCIENCES,Karnataka
41,ATRIA INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,Karnataka
42,ATRIA INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Karnataka
43,ATRIA INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,Karnataka
