id,name,branch,location
1,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,CIVIL AND ENVIRONMENTAL ENGINEERING,Kerala
2,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,RENEWABLE ENERGY,Kerala
3,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,ROBOTIC PROCESS AUTOMATION,Kerala
4,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,ENVIRONMENTAL ENGINEERING AND MANAGEMENT,Kerala
5,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,POWER SYSTEMS,Kerala
6,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,Kerala
7,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Kerala
8,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,Kerala
9,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Kerala
10,UKF COLLEGE OF ENGINEERING & TECHNOLOGY,MECHANICAL ENGINEERING,Kerala
11,"AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2",ELECTRICAL AND ELECTRONICS ENGINEERING,Kerala
12,"AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2",ELECTRONICS & COMMUNICATION ENGG,Kerala
13,"AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2",CIVIL ENGINEERING,Kerala
14,"AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2",ELECTRICAL AND ELECTRONICS ENGINEERING,Kerala
15,"AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2",ELECTRONICS & COMMUNICATION ENGG,Kerala
16,"AL-AMEEN COLLEGE, KULAPPULLY, SHORANUR-2",MECHANICAL ENGINEERING,Kerala
17,"COLLEGE OF ENGINEERING, PATHANAPURAM",ELECTRICAL AND ELECTRONICS ENGINEERING,Kerala
18,"COLLEGE OF ENGINEERING, PATHANAPURAM",ELECTRONICS AND COMMUNICATION ENGINEERING,Kerala
19,"COLLEGE OF ENGINEERING, PATHANAPURAM",RENEWABLE ENERGY,Kerala
20,"COLLEGE OF ENGINEERING, PATHANAPURAM",ROBOTIC PROCESS AUTOMATION,Kerala
21,"COLLEGE OF ENGINEERING, PATHANAPURAM",CIVIL ENGINEERING,Kerala
22,"COLLEGE OF ENGINEERING, PATHANAPURAM",COMPUTER SCIENCE & ENGINEERING,Kerala
23,"COLLEGE OF ENGINEERING, PATHANAPURAM",MECHANICAL ENGINEERING,Kerala
24,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,APPLIED ELECTRONICS AND COMMUNICATION SYTSEM,Kerala
25,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,COMPUTER SCIENCE & ENGINEERING,Kerala
26,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,CONSTRUCTION ENGINEERNG AND MANAGEMENT,Kerala
27,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,VLSI DESIGN,Kerala
28,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,CHEMICAL ENGINEERING,Kerala
29,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,CIVIL ENGINEERING,Kerala
30,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,COMPUTER SCIENCE & ENGINEERING,Kerala
31,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,ELECTRICAL AND ELECTRONICS ENGINEERING,Kerala
32,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Kerala
33,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,MECHANICAL ENGINEERING,Kerala
34,MGM COLLEGE OF ENGINEERING AND PHARMACEUTICAL SCIENCES,MECHATRONICS,Kerala
