id,name,branch,location
1,SATYAM INSTITUTE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Punjab
2,SATYAM INSTITUTE OF ENGINEERING & TECHNOLOGY,MECHANICAL ENGINEERING,Punjab
3,SATYAM INSTITUTE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,Punjab
4,SATYAM INSTITUTE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE & ENGINEERING,Punjab
5,SATYAM INSTITUTE OF ENGINEERING & TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,Punjab
6,SATYAM INSTITUTE OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Punjab
7,SATYAM INSTITUTE OF ENGINEERING & TECHNOLOGY,MECHANICAL ENGINEERING,Punjab
8,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,CIVIL ENGINEERING,Punjab
9,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,COMPUTER SCIENCE & ENGINEERING,Punjab
10,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,MECHANICAL ENGINEERING,Punjab
11,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,DATA SCIENCE,Punjab
12,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,CIVIL ENGINEERING,Punjab
13,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,COMPUTER SCIENCE & ENGINEERING,Punjab
14,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,ELECTRONICS & COMMUNICATION ENGG,Punjab
15,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,MECHANICAL ENGINEERING,Punjab
16,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,HOTEL MANAGEMENT AND CATERING TECHNOLOGY,Punjab
17,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,MBA,Punjab
18,LYALLPUR KHALSA COLLEGE TECHNICAL CAMPUS,MASTERS IN COMPUTER APPLICATIONS,Punjab
19,GULZAR COLLEGE OF ENGINEERING,AUTOMATION AND ROBOTICS,Punjab
20,GULZAR COLLEGE OF ENGINEERING,AUTOMOBILE ENGINEERING,Punjab
21,GULZAR COLLEGE OF ENGINEERING,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),Punjab
22,GULZAR COLLEGE OF ENGINEERING,COMPUTER SCIENCE AND ENGINEERING (INTERNET OF THINGS AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNO,Punjab
23,GULZAR COLLEGE OF ENGINEERING,COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),Punjab
24,GULZAR COLLEGE OF ENGINEERING,ELECTRONICS AND ELECTRICAL ENGINEERING,Punjab
25,GULZAR COLLEGE OF ENGINEERING,INFORMATION TECHNOLOGY,Punjab
26,GURU NANAK DEV ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,Punjab
27,GURU NANAK DEV ENGINEERING COLLEGE,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,Punjab
28,GURU NANAK DEV ENGINEERING COLLEGE,ELECTRICAL ENGINEERING,Punjab
29,GURU NANAK DEV ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Punjab
30,GURU NANAK DEV ENGINEERING COLLEGE,ENVIRONMENTAL SCIENCE AND ENGINEERING,Punjab
31,GURU NANAK DEV ENGINEERING COLLEGE,GEOTECHNICAL ENGINEERING,Punjab
32,GURU NANAK DEV ENGINEERING COLLEGE,MECHANICAL ENGINEERING,Punjab
33,GURU NANAK DEV ENGINEERING COLLEGE,POWER ENGINEERING,Punjab
34,GURU NANAK DEV ENGINEERING COLLEGE,PRODUCTION ENGINEERING,Punjab
35,GURU NANAK DEV ENGINEERING COLLEGE,SOIL MECHANICS AND FOUNDATION ENGINEERING,Punjab
36,GURU NANAK DEV ENGINEERING COLLEGE,STRUCTURAL ENGINEERING,Punjab
37,GURU NANAK DEV ENGINEERING COLLEGE,CIVIL ENGINEERING,Punjab
38,GURU NANAK DEV ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,Punjab
39,GURU NANAK DEV ENGINEERING COLLEGE,ELECTRICAL ENGINEERING,Punjab
40,GURU NANAK DEV ENGINEERING COLLEGE,ELECTRONICS & COMMUNICATION ENGG,Punjab
41,GURU NANAK DEV ENGINEERING COLLEGE,INFORMATION TECHNOLOGY,Punjab
42,GURU NANAK DEV ENGINEERING COLLEGE,MECHANICAL ENGINEERING,Punjab
43,GURU NANAK DEV ENGINEERING COLLEGE,MECHANICAL ENGINEERING (PRODUCTION),Punjab
44,GURU NANAK DEV ENGINEERING COLLEGE,MBA,Punjab
45,GURU NANAK DEV ENGINEERING COLLEGE,MASTERS IN COMPUTER APPLICATIONS,Punjab
46,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Punjab
47,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING,COMPUTER ENGINEERING,Punjab
48,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,CIVIL (STRUCTURAL ENGINEERING),Punjab
49,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),Punjab
50,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,Punjab
51,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE & ENGINEERING,Punjab
52,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),Punjab
53,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,ELECTRICAL ENGINEERING,Punjab
54,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Punjab
55,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,MECHANICAL ENGINEERING,Punjab
56,DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,MBA,Punjab
