id,name,branch,location
1,EXCEL ENGINEERING COLLEGE,AERONAUTICAL ENGINEERING,Tamil Nadu
2,EXCEL ENGINEERING COLLEGE,APPLIED ELECTRONICS,Tamil Nadu
3,EXCEL ENGINEERING COLLEGE,COMPUTER SCIENCE & ENGINEERING,Tamil Nadu
4,EXCEL ENGINEERING COLLEGE,EMBEDDED SYSTEMS,Tamil Nadu
5,EXCEL ENGINEERING COLLEGE,ENVIRONMENTAL ENGINEERING,Tamil Nadu
6,EXCEL ENGINEERING COLLEGE,INDUSTRIAL SAFETY AND ENGINEERING,Tamil Nadu
7,EXCEL ENGINEERING COLLEGE,POWER ELECTRONICS AND DRIVES,Tamil Nadu
8,EXCEL ENGINEERING COLLEGE,STRUCTURAL ENGINEERING,Tamil Nadu
9,EXCEL ENGINEERING COLLEGE,THERMAL ENGINEERING,Tamil Nadu
10,EXCEL ENGINEERING COLLEGE,AERONAUTICAL ENGINEERING,Tamil Nadu
11,EXCEL ENGINEERING COLLEGE,AGRICULTURAL ENGINEERING,Tamil Nadu
12,EXCEL ENGINEERING COLLEGE,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Tamil Nadu
13,EXCEL ENGINEERING COLLEGE,BIOMEDICAL ENGINEERING,Tamil Nadu
14,EXCEL ENGINEERING COLLEGE,CIVIL ENGINEERING,Tamil Nadu
15,EXCEL ENGINEERING COLLEGE,COMPUTER SCIENCE AND BUSINESS SYSTEM,Tamil Nadu
16,EXCEL ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,Tamil Nadu
17,EXCEL ENGINEERING COLLEGE,ELECTRICAL AND ELECTRONICS ENGINEERING,Tamil Nadu
18,EXCEL ENGINEERING COLLEGE,ELECTRONICS & COMMUNICATION ENGG,Tamil Nadu
19,EXCEL ENGINEERING COLLEGE,FOOD TECHNOLOGY,Tamil Nadu
20,EXCEL ENGINEERING COLLEGE,INFORMATION TECHNOLOGY,Tamil Nadu
21,EXCEL ENGINEERING COLLEGE,MECHANICAL ENGINEERING,Tamil Nadu
