Sno,Institute Name,State,District,Type,Affiliating University,Program,Level,Course,Acred. Till,Intake
484,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2022,120
485,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,POST GRADUATE,BIOTECHNOLOGY,30-06-2022,18
486,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,30-06-2022,180
487,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,120
488,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,BIOTECHNOLOGY,30-06-2021,60
489,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,FASHION TECHNOLOGY,30-06-2021,60
490,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",MANAGEMENT,POST GRADUATE,MBA,30-06-2022,180
491,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,AERONAUTICAL ENGINEERING,30-06-2022,60
492,KUMARAGURU COLLEGE OF TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & INSTRUMENTATION ENGINEERING,30-06-2022,60
493,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CIVIL ENGINEERING,30-06-2021,120
494,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2021,180
495,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2021,120
496,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,INFORMATION TECHNOLOGY,30-06-2021,180
497,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2021,120
498,MATURI VENKATA SUBBA RAO ENGINEERING COLLEGE,Telangana,RANGAREDDI,Private-Self Financing,"Osmania University, Hyderabad",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,30-06-2021,180
499,KLE DR M S SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY BELGAUM,Karnataka,BELGAUM,Private-Self Financing,"KLE Technological University, Hubballi",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2021,60
500,KLE DR M S SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY BELGAUM,Karnataka,BELGAUM,Private-Self Financing,"KLE Technological University, Hubballi",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,CHEMICAL ENGINEERING,30-06-2021,60
501,KLE DR M S SHESHGIRI COLLEGE OF ENGINEERING AND TECHNOLOGY BELGAUM,Karnataka,BELGAUM,Private-Self Financing,"KLE Technological University, Hubballi",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,BIOMEDICAL ENGINEERING,30-06-2021,30
502,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,Andhra Pradesh,GUNTUR,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2021,180
503,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,Andhra Pradesh,GUNTUR,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30-06-2021,60
504,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,Andhra Pradesh,GUNTUR,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2021,60
505,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,Andhra Pradesh,GUNTUR,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2021,180
506,DVR DR HS MIC COLLEGE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,30-06-2022,180
507,DVR DR HS MIC COLLEGE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30-06-2022,180
508,DVR DR HS MIC COLLEGE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,MECHANICAL ENGINEERING,30-06-2022,60
509,GOVT POLYTECHNIC SUNDERNAGAR,Himachal Pradesh,MANDI,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",ENGINEERING AND TECHNOLOGY,DIPLOMA,CIVIL ENGINEERING,30-06-2021,40
510,GOVT POLYTECHNIC SUNDERNAGAR,Himachal Pradesh,MANDI,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",ENGINEERING AND TECHNOLOGY,DIPLOMA,MECHANICAL ENGINEERING,30-06-2021,60
511,GOVT POLYTECHNIC SUNDERNAGAR,Himachal Pradesh,MANDI,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",ENGINEERING AND TECHNOLOGY,DIPLOMA,AUTOMOBILE ENGINEERING,30-06-2021,40
512,INSTITUTE OF RURAL MANAGEMENT,Rajasthan,JAIPUR,Private-Self Financing,None,MANAGEMENT,POST GRADUATE DIPLOMA,PGDM,30-06-2022,120
513,UNIVERSITY COLLEGE OF ENGINEERING BITCAMPUS TIRUCHIRAPPALLI,Tamil Nadu,TIRUCHIRAPPALLI,State Government University,"Anna University, Chennai",ENGINEERING AND TECHNOLOGY,UNDER GRADUATE,BIOTECHNOLOGY,30-06-2021,60
