id,name,branch,location
1,Khalifa University,Computer Science Engineering,UAE
2,Khalifa University,Computer Engineering,UAE
3,Khalifa University,Information Technology,UAE
4,Khalifa University,Electronics and Communications Engineering,UAE
5,Khalifa University,Mechanical Engineering,UAE
6,Khalifa University,Electrical Engineering,UAE
7,Khalifa University,Civil Engineering,UAE
8,United Arab Emirates University (UAEU),Computer Science Engineering,UAE
9,United Arab Emirates University (UAEU),Computer Engineering,UAE
10,United Arab Emirates University (UAEU),Information Technology,UAE
11,United Arab Emirates University (UAEU),Electronics and Communications Engineering,UAE
12,United Arab Emirates University (UAEU),Mechanical Engineering,UAE
13,United Arab Emirates University (UAEU),Electrical Engineering,UAE
14,United Arab Emirates University (UAEU),Civil Engineering,UAE
15,American University of Sharjah (AUS),Computer Science Engineering,UAE
16,American University of Sharjah (AUS),Computer Engineering,UAE
17,American University of Sharjah (AUS),Information Technology,UAE
18,American University of Sharjah (AUS),Electronics and Communications Engineering,UAE
19,American University of Sharjah (AUS),Mechanical Engineering,UAE
20,American University of Sharjah (AUS),Electrical Engineering,UAE
21,American University of Sharjah (AUS),Civil Engineering,UAE
22,University of Sharjah,Computer Science Engineering,UAE
23,University of Sharjah,Computer Engineering,UAE
24,University of Sharjah,Information Technology,UAE
25,University of Sharjah,Electronics and Communications Engineering,UAE
26,University of Sharjah,Mechanical Engineering,UAE
27,University of Sharjah,Electrical Engineering,UAE
28,University of Sharjah,Civil Engineering,UAE
29,Heriot-Watt University Dubai,Computer Science Engineering,UAE
30,Heriot-Watt University Dubai,Computer Engineering,UAE
31,Heriot-Watt University Dubai,Information Technology,UAE
32,Heriot-Watt University Dubai,Electronics and Communications Engineering,UAE
33,Heriot-Watt University Dubai,Mechanical Engineering,UAE
34,Heriot-Watt University Dubai,Electrical Engineering,UAE
35,Heriot-Watt University Dubai,Civil Engineering,UAE
36,Rochester Institute of Technology (RIT) Dubai,Computer Science Engineering,UAE
37,Rochester Institute of Technology (RIT) Dubai,Computer Engineering,UAE
38,Rochester Institute of Technology (RIT) Dubai,Information Technology,UAE
39,Rochester Institute of Technology (RIT) Dubai,Electronics and Communications Engineering,UAE
40,Rochester Institute of Technology (RIT) Dubai,Mechanical Engineering,UAE
41,Rochester Institute of Technology (RIT) Dubai,Electrical Engineering,UAE
42,Rochester Institute of Technology (RIT) Dubai,Civil Engineering,UAE
43,British University in Dubai (BUiD),Computer Science Engineering,UAE
44,British University in Dubai (BUiD),Computer Engineering,UAE
45,British University in Dubai (BUiD),Information Technology,UAE
46,British University in Dubai (BUiD),Electronics and Communications Engineering,UAE
47,British University in Dubai (BUiD),Mechanical Engineering,UAE
48,British University in Dubai (BUiD),Electrical Engineering,UAE
49,British University in Dubai (BUiD),Civil Engineering,UAE
50,Ajman University,Computer Science Engineering,UAE
51,Ajman University,Computer Engineering,UAE
52,Ajman University,Information Technology,UAE
53,Ajman University,Electronics and Communications Engineering,UAE
54,Ajman University,Mechanical Engineering,UAE
55,Ajman University,Electrical Engineering,UAE
56,Ajman University,Civil Engineering,UAE
57,Manipal Academy of Higher Education Dubai,Computer Science Engineering,UAE
58,Manipal Academy of Higher Education Dubai,Computer Engineering,UAE
59,Manipal Academy of Higher Education Dubai,Information Technology,UAE
60,Manipal Academy of Higher Education Dubai,Electronics and Communications Engineering,UAE
61,Manipal Academy of Higher Education Dubai,Mechanical Engineering,UAE
62,Manipal Academy of Higher Education Dubai,Electrical Engineering,UAE
63,Manipal Academy of Higher Education Dubai,Civil Engineering,UAE
64,Amity University Dubai,Computer Science Engineering,UAE
65,Amity University Dubai,Computer Engineering,UAE
66,Amity University Dubai,Information Technology,UAE
67,Amity University Dubai,Electronics and Communications Engineering,UAE
68,Amity University Dubai,Mechanical Engineering,UAE
69,Amity University Dubai,Electrical Engineering,UAE
70,Amity University Dubai,Civil Engineering,UAE
71,Abu Dhabi University,Computer Science Engineering,UAE
72,Abu Dhabi University,Computer Engineering,UAE
73,Abu Dhabi University,Information Technology,UAE
74,Abu Dhabi University,Electronics and Communications Engineering,UAE
75,Abu Dhabi University,Mechanical Engineering,UAE
76,Abu Dhabi University,Electrical Engineering,UAE
77,Abu Dhabi University,Civil Engineering,UAE
78,Al Ghurair University,Computer Science Engineering,UAE
79,Al Ghurair University,Computer Engineering,UAE
80,Al Ghurair University,Information Technology,UAE
81,Al Ghurair University,Electronics and Communications Engineering,UAE
82,Al Ghurair University,Mechanical Engineering,UAE
83,Al Ghurair University,Electrical Engineering,UAE
84,Al Ghurair University,Civil Engineering,UAE
85,Higher Colleges of Technology (HCT),Computer Science Engineering,UAE
86,Higher Colleges of Technology (HCT),Computer Engineering,UAE
87,Higher Colleges of Technology (HCT),Information Technology,UAE
88,Higher Colleges of Technology (HCT),Electronics and Communications Engineering,UAE
89,Higher Colleges of Technology (HCT),Mechanical Engineering,UAE
90,Higher Colleges of Technology (HCT),Electrical Engineering,UAE
91,Higher Colleges of Technology (HCT),Civil Engineering,UAE
92,Zayed University,Computer Science Engineering,UAE
93,Zayed University,Computer Engineering,UAE
94,Zayed University,Information Technology,UAE
95,Zayed University,Electronics and Communications Engineering,UAE
96,Zayed University,Mechanical Engineering,UAE
97,Zayed University,Electrical Engineering,UAE
98,Zayed University,Civil Engineering,UAE
99,University of Dubai,Computer Science Engineering,UAE
100,University of Dubai,Computer Engineering,UAE
101,University of Dubai,Information Technology,UAE
102,University of Dubai,Electronics and Communications Engineering,UAE
103,University of Dubai,Mechanical Engineering,UAE
104,University of Dubai,Electrical Engineering,UAE
105,University of Dubai,Civil Engineering,UAE
106,Canadian University Dubai,Computer Science Engineering,UAE
107,Canadian University Dubai,Computer Engineering,UAE
108,Canadian University Dubai,Information Technology,UAE
109,Canadian University Dubai,Electronics and Communications Engineering,UAE
110,Canadian University Dubai,Mechanical Engineering,UAE
111,Canadian University Dubai,Electrical Engineering,UAE
112,Canadian University Dubai,Civil Engineering,UAE
113,Al Ain University of Science and Technology,Computer Science Engineering,UAE
114,Al Ain University of Science and Technology,Computer Engineering,UAE
115,Al Ain University of Science and Technology,Information Technology,UAE
116,Al Ain University of Science and Technology,Electronics and Communications Engineering,UAE
117,Al Ain University of Science and Technology,Mechanical Engineering,UAE
118,Al Ain University of Science and Technology,Electrical Engineering,UAE
119,Al Ain University of Science and Technology,Civil Engineering,UAE
120,Dubai Institute of Design and Innovation (DIDI),Computer Science Engineering,UAE
121,Dubai Institute of Design and Innovation (DIDI),Computer Engineering,UAE
122,Dubai Institute of Design and Innovation (DIDI),Information Technology,UAE
123,Dubai Institute of Design and Innovation (DIDI),Electronics and Communications Engineering,UAE
124,Dubai Institute of Design and Innovation (DIDI),Mechanical Engineering,UAE
125,Dubai Institute of Design and Innovation (DIDI),Electrical Engineering,UAE
126,Dubai Institute of Design and Innovation (DIDI),Civil Engineering,UAE
127,Murdoch University Dubai,Computer Science Engineering,UAE
128,Murdoch University Dubai,Computer Engineering,UAE
129,Murdoch University Dubai,Information Technology,UAE
130,Murdoch University Dubai,Electronics and Communications Engineering,UAE
131,Murdoch University Dubai,Mechanical Engineering,UAE
132,Murdoch University Dubai,Electrical Engineering,UAE
133,Murdoch University Dubai,Civil Engineering,UAE
134,University of Wollongong in Dubai (UOWD),Computer Science Engineering,UAE
135,University of Wollongong in Dubai (UOWD),Computer Engineering,UAE
136,University of Wollongong in Dubai (UOWD),Information Technology,UAE
137,University of Wollongong in Dubai (UOWD),Electronics and Communications Engineering,UAE
138,University of Wollongong in Dubai (UOWD),Mechanical Engineering,UAE
139,University of Wollongong in Dubai (UOWD),Electrical Engineering,UAE
140,University of Wollongong in Dubai (UOWD),Civil Engineering,UAE
141,Bangladesh University of Engineering and Technology (BUET),Computer Science Engineering,Bangladesh
142,Bangladesh University of Engineering and Technology (BUET),Computer Engineering,Bangladesh
143,Bangladesh University of Engineering and Technology (BUET),Information Technology,Bangladesh
144,Bangladesh University of Engineering and Technology (BUET),Electronics and Communications Engineering,Bangladesh
145,Bangladesh University of Engineering and Technology (BUET),Mechanical Engineering,Bangladesh
146,Bangladesh University of Engineering and Technology (BUET),Electrical Engineering,Bangladesh
147,Bangladesh University of Engineering and Technology (BUET),Civil Engineering,Bangladesh
148,Dhaka University of Engineering & Technology (DUET),Computer Science Engineering,Bangladesh
149,Dhaka University of Engineering & Technology (DUET),Computer Engineering,Bangladesh
150,Dhaka University of Engineering & Technology (DUET),Information Technology,Bangladesh
151,Dhaka University of Engineering & Technology (DUET),Electronics and Communications Engineering,Bangladesh
152,Dhaka University of Engineering & Technology (DUET),Mechanical Engineering,Bangladesh
153,Dhaka University of Engineering & Technology (DUET),Electrical Engineering,Bangladesh
154,Dhaka University of Engineering & Technology (DUET),Civil Engineering,Bangladesh
155,Khulna University of Engineering & Technology (KUET),Computer Science Engineering,Bangladesh
156,Khulna University of Engineering & Technology (KUET),Computer Engineering,Bangladesh
157,Khulna University of Engineering & Technology (KUET),Information Technology,Bangladesh
158,Khulna University of Engineering & Technology (KUET),Electronics and Communications Engineering,Bangladesh
159,Khulna University of Engineering & Technology (KUET),Mechanical Engineering,Bangladesh
160,Khulna University of Engineering & Technology (KUET),Electrical Engineering,Bangladesh
161,Khulna University of Engineering & Technology (KUET),Civil Engineering,Bangladesh
162,Chittagong University of Engineering & Technology (CUET),Computer Science Engineering,Bangladesh
163,Chittagong University of Engineering & Technology (CUET),Computer Engineering,Bangladesh
164,Chittagong University of Engineering & Technology (CUET),Information Technology,Bangladesh
165,Chittagong University of Engineering & Technology (CUET),Electronics and Communications Engineering,Bangladesh
166,Chittagong University of Engineering & Technology (CUET),Mechanical Engineering,Bangladesh
167,Chittagong University of Engineering & Technology (CUET),Electrical Engineering,Bangladesh
168,Chittagong University of Engineering & Technology (CUET),Civil Engineering,Bangladesh
169,Rajshahi University of Engineering & Technology (RUET),Computer Science Engineering,Bangladesh
170,Rajshahi University of Engineering & Technology (RUET),Computer Engineering,Bangladesh
171,Rajshahi University of Engineering & Technology (RUET),Information Technology,Bangladesh
172,Rajshahi University of Engineering & Technology (RUET),Electronics and Communications Engineering,Bangladesh
173,Rajshahi University of Engineering & Technology (RUET),Mechanical Engineering,Bangladesh
174,Rajshahi University of Engineering & Technology (RUET),Electrical Engineering,Bangladesh
175,Rajshahi University of Engineering & Technology (RUET),Civil Engineering,Bangladesh
176,Military Institute of Science and Technology (MIST),Computer Science Engineering,Bangladesh
177,Military Institute of Science and Technology (MIST),Computer Engineering,Bangladesh
178,Military Institute of Science and Technology (MIST),Information Technology,Bangladesh
179,Military Institute of Science and Technology (MIST),Electronics and Communications Engineering,Bangladesh
