id,name,branch,location
1,P P SAVANI SCHOOL OF ENGINEERING,CIVIL ENGINEERING,Gujarat
2,P P SAVANI SCHOOL OF ENGINEERING,COMPUTER ENGINEERING,Gujarat
3,P P SAVANI SCHOOL OF ENGINEERING,COMPUTER SCIENCE & ENGINEERING,Gujarat
4,P P SAVANI SCHOOL OF ENGINEERING,INFORMATION TECHNOLOGY,Gujarat
5,P P SAVANI SCHOOL OF ENGINEERING,MECHANICAL ENGINEERING,Gujarat
6,SARDAR PATEL COLLEGE OF ENGINEERING,STRUCTURAL ENGINEERING,Gujarat
7,SARDAR PATEL COLLEGE OF ENGINEERING,CIVIL ENGINEERING,Gujarat
8,SARDAR PATEL COLLEGE OF ENGINEERING,COMPUTER ENGINEERING,Gujarat
9,SARDAR PATEL COLLEGE OF ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Gujarat
10,SARDAR PATEL COLLEGE OF ENGINEERING,ELECTRICAL ENGINEERING,Gujarat
11,SARDAR PATEL COLLEGE OF ENGINEERING,INFORMATION TECHNOLOGY,Gujarat
12,SARDAR PATEL COLLEGE OF ENGINEERING,MECHANICAL ENGINEERING,Gujarat
13,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,Gujarat
14,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Gujarat
15,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL ENGINEERING,Gujarat
16,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,Gujarat
17,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,Gujarat
18,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Gujarat
19,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),Gujarat
20,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL ENGINEERING,Gujarat
21,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,Gujarat
22,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,SMART AND SUSTAINABLE ENERGY,Gujarat
23,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CHEMICAL ENGINEERING,Gujarat
24,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",CIVIL ENGINEERING,Gujarat
25,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",COMPUTER ENGINEERING,Gujarat
26,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",ELECTRICAL ENGINEERING,Gujarat
27,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",ELECTRONICS & COMMUNICATION ENGG,Gujarat
28,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",MECHANICAL ENGINEERING,Gujarat
29,"DR. S. & S. S. GHANDHY GOVERNMENT ENGINEERING COLLEGE, SURAT.",CIVIL(WATER RESOURCE ENGINEERING),Gujarat
30,"DR. S. & S. S. GHANDHY GOVERNMENT ENGINEERING COLLEGE, SURAT.",ELECTRONICS AND COMMUNICATION(WIRELESS COMMUNICATION SYSTEMS AND NETWORKS),Gujarat
