id,name,branch,location
1,MANIPUR INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,Manipur
2,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Tamil Nadu
3,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Tamil Nadu
4,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,Tamil Nadu
5,DR MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,Tamil Nadu
6,BUNDELKHAND INSTITUTE OF ENGINEERING TECHNOLOGY JHANSI,MECHANICAL ENGINEERING,Uttar Pradesh
7,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,COMPUTER ENGINEERING,Maharashtra
8,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,MECHANICAL ENGINEERING,Maharashtra
9,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,ELECTRICAL ENGINEERING,Maharashtra
10,SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,CIVIL ENGINEERING,Maharashtra
11,INSTITUTE OF ENGINEERING MANAGEMENT,ELECTRONICS AND COMMUNICATIONS ENGINEERING,West Bengal
12,INSTITUTE OF ENGINEERING MANAGEMENT,INFORMATION TECHNOLOGY,West Bengal
13,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY CCCT,COMPUTER SCIENCE AND TECHNOLOGY,Sikkim
14,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY CCCT,ELECTRICAL AND ELECTRONICS ENGINEERING,Sikkim
15,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR,COMPUTER ENGINEERING,Maharashtra
16,ST VINCENT PALLOTTI COLLEGE OF ENGG TECHNOLOGY NAGPUR,ELECTRICAL ENGINEERING,Maharashtra
17,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,CIVIL ENGINEERING,Tamil Nadu
18,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,MECHANICAL ENGINEERING,Tamil Nadu
19,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,COMPUTER SCIENCE AND ENGINEERING,Tamil Nadu
20,KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,ELECTRONICS AND COMMUNICATION ENGINEERING,Tamil Nadu
21,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY,ELECTRONICS AND INSTRUMENTATION ENGINEERING,Odisha
22,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY,ELECTRONICS AND ELECTRICAL ENGINEERING,Odisha
23,KALINGA INSTITUE OF INDUSTRIAL TECHNOLOGY,INFORMATION TECHNOLOGY,Odisha
24,SILICON INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Odisha
25,SILICON INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Odisha
26,SILICON INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,Odisha
27,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Tamil Nadu
28,JCT COLLEGE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,Tamil Nadu
