id,name,branch,location
1,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,CIVIL ENGINEERING,Rajasthan
2,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,ELECTRICAL ENGINEERING,Rajasthan
3,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,MECHANICAL ENGINEERING,Rajasthan
4,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,CIVIL ENGINEERING,Rajasthan
5,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,COMPUTER SCIENCE AND ENGINEERING,Rajasthan
6,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,ELECTRICAL ENGINEERING,Rajasthan
7,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Rajasthan
8,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,MECHANICAL ENGINEERING,Rajasthan
9,MBM UNIVERSITY JODHPUR,COMPUTER SCIENCE & ENGINEERING,Rajasthan
10,MBM UNIVERSITY JODHPUR,CONTROL SYSTEM ENGINEERING,Rajasthan
11,MBM UNIVERSITY JODHPUR,DESIGN ENGINEERING,Rajasthan
12,MBM UNIVERSITY JODHPUR,DIGITAL COMMUNICATION,Rajasthan
13,MBM UNIVERSITY JODHPUR,ENVIRONMENTAL ENGINEERING,Rajasthan
14,MBM UNIVERSITY JODHPUR,INDUSTRIAL ENGINEERING AND MANAGEMENT,Rajasthan
15,MBM UNIVERSITY JODHPUR,POWER SYSTEMS,Rajasthan
16,MBM UNIVERSITY JODHPUR,STRUCTURAL ENGINEERING,Rajasthan
17,MBM UNIVERSITY JODHPUR,TRANSPORTATION ENGINEERING,Rajasthan
18,MBM UNIVERSITY JODHPUR,WATER RESOURCE ENGINEERING,Rajasthan
19,MBM UNIVERSITY JODHPUR,ARTIFICIAL INTELLIGENCE (AI)  AND DATA SCIENCE,Rajasthan
20,MBM UNIVERSITY JODHPUR,BUILDING AND CONSTRUCTION TECHNOLOGY,Rajasthan
21,MBM UNIVERSITY JODHPUR,CIVIL ENGINEERING,Rajasthan
22,MBM UNIVERSITY JODHPUR,COMPUTER SCIENCE & ENGINEERING,Rajasthan
23,MBM UNIVERSITY JODHPUR,ELECTRICAL ENGINEERING,Rajasthan
24,MBM UNIVERSITY JODHPUR,ELECTRONICS & COMMUNICATION ENGG,Rajasthan
25,MBM UNIVERSITY JODHPUR,ELECTRONICS AND COMPUTER ENGINEERING,Rajasthan
26,MBM UNIVERSITY JODHPUR,ELECTRONICS AND ELECTRICAL ENGINEERING,Rajasthan
27,MBM UNIVERSITY JODHPUR,INFORMATION TECHNOLOGY,Rajasthan
28,MBM UNIVERSITY JODHPUR,MECHANICAL ENGINEERING,Rajasthan
29,MBM UNIVERSITY JODHPUR,MASTER OF COMPUTER APPLICATIONS,Rajasthan
30,COMPUCOM INTITUTE OF TECH. & MANAGEMENT,COMPUTER SCIENCE AND ENGINEERING,Rajasthan
31,COMPUCOM INTITUTE OF TECH. & MANAGEMENT,CIVIL ENGINEERING,Rajasthan
32,COMPUCOM INTITUTE OF TECH. & MANAGEMENT,COMPUTER SCIENCE AND ENGINEERING,Rajasthan
33,COMPUCOM INTITUTE OF TECH. & MANAGEMENT,ELECTRICAL ENGINEERING,Rajasthan
34,COMPUCOM INTITUTE OF TECH. & MANAGEMENT,ELECTRONICS & COMMUNICATION ENGG,Rajasthan
35,"SHEKHAWATI ENGINEERING COLLEGE, DUNDLOD",CIVIL ENGINEERING,Rajasthan
36,"SHEKHAWATI ENGINEERING COLLEGE, DUNDLOD",COMPUTER SCIENCE AND ENGINEERING,Rajasthan
37,"SHEKHAWATI ENGINEERING COLLEGE, DUNDLOD",ELECTRICAL ENGINEERING,Rajasthan
38,"SHEKHAWATI ENGINEERING COLLEGE, DUNDLOD",ELECTRONICS AND COMMUNICATIONS ENGINEERING,Rajasthan
39,"SHEKHAWATI ENGINEERING COLLEGE, DUNDLOD",MECHANICAL ENGINEERING,Rajasthan
40,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",CIVIL ENGINEERING,Rajasthan
41,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",COMPUTER SCIENCE & ENGINEERING,Rajasthan
42,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",ELECTRICAL ENGINEERING,Rajasthan
43,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",ELECTRONICS AND COMMUNICATIONS ENGINEERING,Rajasthan
44,"MEWAR SCHOOL OF ENGINEERING & TECHNOLOGY, MEWAR UNIVERSITY, GANGRAR, CHITTORGARH",MECHANICAL ENGINEERING,Rajasthan
45,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",COMPUTER SCIENCE & ENGINEERING (IOT),Rajasthan
46,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",ELECTRONICS & COMMUNICATION ENGG,Rajasthan
47,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",INFORMATION TECHNOLOGY,Rajasthan
48,"MLV TEXTILE & ENGINEERING COLLEGE, BHILWARA",MECHANICAL ENGINEERING,Rajasthan
49,BLM INSTITUTE OF TECHNOLOGY & MANAGEMENT SCIENCES,CIVIL ENGINEERING,Rajasthan
50,BLM INSTITUTE OF TECHNOLOGY & MANAGEMENT SCIENCES,COMPUTER SCIENCE AND ENGINEERING,Rajasthan
51,BLM INSTITUTE OF TECHNOLOGY & MANAGEMENT SCIENCES,ELECTRICAL ENGINEERING,Rajasthan
52,BLM INSTITUTE OF TECHNOLOGY & MANAGEMENT SCIENCES,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Rajasthan
53,KEYSTONE GROUP OF INSTITUTIONS,CIVIL ENGINEERING,Rajasthan
54,KEYSTONE GROUP OF INSTITUTIONS,MECHANICAL ENGINEERING,Rajasthan
55,KEYSTONE GROUP OF INSTITUTIONS,COMPUTER SCIENCE & ENGINEERING,Rajasthan
56,KEYSTONE GROUP OF INSTITUTIONS,DIGITAL COMMUNICATION,Rajasthan
57,KEYSTONE GROUP OF INSTITUTIONS,CIVIL ENGINEERING,Rajasthan
58,KEYSTONE GROUP OF INSTITUTIONS,COMPUTER SCIENCE & ENGINEERING,Rajasthan
59,KEYSTONE GROUP OF INSTITUTIONS,ELECTRICAL AND ELECTRONICS ENGINEERING,Rajasthan
60,KEYSTONE GROUP OF INSTITUTIONS,ELECTRONICS & COMMUNICATION ENGG,Rajasthan
61,KEYSTONE GROUP OF INSTITUTIONS,MECHANICAL ENGINEERING,Rajasthan
62,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,Rajasthan
63,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRICAL ENGINEERING,Rajasthan
64,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,MECHANICAL ENGINEERING,Rajasthan
65,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Rajasthan
66,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,POWER SYSTEMS,Rajasthan
67,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,Rajasthan
68,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER ENGINEERING,Rajasthan
69,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,Rajasthan
70,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRICAL ENGINEERING,Rajasthan
71,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Rajasthan
72,VEDANT COLLEGE OF ENGINEERING & TECHNOLOGY,MECHANICAL ENGINEERING,Rajasthan
73,GOVERNMENT ENGINEERING COLLEGE BARAN,CIVIL ENGINEERING,Rajasthan
74,GOVERNMENT ENGINEERING COLLEGE BARAN,COMPUTER SCIENCE & ENGINEERING,Rajasthan
75,GOVERNMENT ENGINEERING COLLEGE BARAN,ELECTRICAL ENGINEERING,Rajasthan
76,GOVERNMENT ENGINEERING COLLEGE BARAN,ELECTRONICS & COMMUNICATION ENGG,Rajasthan
77,SCHOOL OF AERONAUTICS(NEEMRANA),MECHATRONICS,Rajasthan
78,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Rajasthan
79,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,DIGITAL COMMUNICATION,Rajasthan
80,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,POWER SYSTEMS,Rajasthan
81,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,Rajasthan
82,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Rajasthan
83,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,ELECTRICAL ENGINEERING,Rajasthan
84,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG,Rajasthan
85,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,INFORMATION TECHNOLOGY,Rajasthan
86,ARYA COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY,MECHANICAL ENGINEERING,Rajasthan
87,SLBS ENGINEERING COLLEGE,CIVIL ENGINEERING,Rajasthan
88,SLBS ENGINEERING COLLEGE,ELECTRICAL ENGINEERING,Rajasthan
89,SLBS ENGINEERING COLLEGE,MECHANICAL ENGINEERING,Rajasthan
90,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,Rajasthan
91,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE & ENGINEERING,Rajasthan
92,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY,ELECTRICAL ENGINEERING,Rajasthan
93,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATIONS ENGINEERING,Rajasthan
94,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,Rajasthan
95,MAHARISHI ARVIND INSTITUTE OF ENGINEERING & TECHNOLOGY,MACHINE DESIGN,Rajasthan
96,MAHARISHI ARVIND INSTITUTE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,Rajasthan
97,MAHARISHI ARVIND INSTITUTE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,Rajasthan
98,MAHARISHI ARVIND INSTITUTE OF ENGINEERING & TECHNOLOGY,ELECTRICAL ENGINEERING,Rajasthan
